Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1518348424,2018-02-11T11:27:04Z,SOV703,"55.299683,38.389309",3250,332,87
1518348414,2018-02-11T11:26:54Z,SOV703,"55.299683,38.365791",5350,332,87
1518348402,2018-02-11T11:26:42Z,SOV703,"55.299358,38.337791",6200,303,87
1518348384,2018-02-11T11:26:24Z,SOV703,"55.299179,38.291958",5800,281,89
1518348372,2018-02-11T11:26:12Z,SOV703,"55.298798,38.261051",5975,330,89
1518348345,2018-02-11T11:25:45Z,SOV703,"55.29863,38.18985",6400,375,91
1518348330,2018-02-11T11:25:30Z,SOV703,"55.29863,38.153416",5875,375,91
1518348315,2018-02-11T11:25:15Z,SOV703,"55.29863,38.117226",5625,375,91
1518348303,2018-02-11T11:25:03Z,SOV703,"55.298985,38.088684",5525,280,90
1518348288,2018-02-11T11:24:48Z,SOV703,"55.299179,38.054539",5225,247,91
1518348279,2018-02-11T11:24:39Z,SOV703,"55.299316,38.035637",4900,282,92
1518348273,2018-02-11T11:24:33Z,SOV703,"55.299683,38.023098",4625,314,92
1518348267,2018-02-11T11:24:27Z,SOV703,"55.300194,38.010281",4375,286,97
1518348261,2018-02-11T11:24:21Z,SOV703,"55.30122,37.997547",4125,316,105
1518348255,2018-02-11T11:24:15Z,SOV703,"55.304153,37.982315",3875,143,114
1518348249,2018-02-11T11:24:09Z,SOV703,"55.307224,37.97366",3725,233,129
1518348243,2018-02-11T11:24:03Z,SOV703,"55.312393,37.96442",3550,227,144
1518348237,2018-02-11T11:23:57Z,SOV703,"55.318039,37.958248",3450,188,158
1518348231,2018-02-11T11:23:51Z,SOV703,"55.324078,37.954102",3400,221,160
1518348225,2018-02-11T11:23:45Z,SOV703,"55.329895,37.950356",3375,210,160
1518348219,2018-02-11T11:23:39Z,SOV703,"55.335571,37.946777",3350,235,160
1518348213,2018-02-11T11:23:33Z,SOV703,"55.340881,37.943447",3325,224,160
1518348207,2018-02-11T11:23:27Z,SOV703,"55.346375,37.940037",3300,182,162
1518348201,2018-02-11T11:23:21Z,SOV703,"55.351868,37.93676",3225,128,161
1518348195,2018-02-11T11:23:15Z,SOV703,"55.355824,37.934376",3125,209,160
1518348189,2018-02-11T11:23:09Z,SOV703,"55.361115,37.930943",2775,154,164
1518348183,2018-02-11T11:23:03Z,SOV703,"55.365601,37.92836",2475,167,163
1518348177,2018-02-11T11:22:57Z,SOV703,"55.370209,37.925472",2200,171,160
1518348171,2018-02-11T11:22:51Z,SOV703,"55.37505,37.92239",1950,171,160
1518348165,2018-02-11T11:22:45Z,SOV703,"55.380032,37.91898",1725,140,152
1518348159,2018-02-11T11:22:39Z,SOV703,"55.384315,37.914982",1625,156,150
1518348153,2018-02-11T11:22:33Z,SOV703,"55.388084,37.911072",1625,110,147
1518348144,2018-02-11T11:22:24Z,SOV703,"55.39325,37.90485",1500,101,145
1518348137,2018-02-11T11:22:17Z,SOV703,"55.396511,37.900917",1325,128,149
1518348131,2018-02-11T11:22:11Z,SOV703,"55.399582,37.897339",1075,128,149
1518348125,2018-02-11T11:22:05Z,SOV703,"55.402679,37.893864",800,23,146
1518348119,2018-02-11T11:21:59Z,SOV703,"55.406433,37.889584",525,23,147
1518348029,2018-02-11T11:20:29Z,SOV703,"55.421219,37.872963",0,23,213
1518348023,2018-02-11T11:20:23Z,SOV703,"55.421394,37.873306",0,22,233
1518348017,2018-02-11T11:20:17Z,SOV703,"55.421394,37.873661",0,19,236
1518347676,2018-02-11T11:14:36Z,SOV703,"55.41967,37.877426",0,30,326
1518347670,2018-02-11T11:14:30Z,SOV703,"55.419334,37.877945",0,32,326
1518347661,2018-02-11T11:14:21Z,SOV703,"55.418823,37.878281",0,15,326
1518347517,2018-02-11T11:11:57Z,SOV703,"55.410061,37.889099",0,28,326
1518347499,2018-02-11T11:11:39Z,SOV703,"55.409374,37.889969",0,21,326
1518347493,2018-02-11T11:11:33Z,SOV703,"55.409031,37.890129",0,19,326
1518347478,2018-02-11T11:11:18Z,SOV703,"55.408684,37.89064",0,18,326
1518347469,2018-02-11T11:11:09Z,SOV703,"55.408516,37.890999",0,18,326
1518347457,2018-02-11T11:10:57Z,SOV703,"55.408173,37.891327",0,19,317
1518347448,2018-02-11T11:10:48Z,SOV703,"55.408001,37.891685",0,17,303
1518347442,2018-02-11T11:10:42Z,SOV703,"55.407829,37.892029",0,17,295
1518347436,2018-02-11T11:10:36Z,SOV703,"55.407837,37.892365",0,18,289
1518347427,2018-02-11T11:10:27Z,SOV703,"55.407837,37.8927",0,20,275
1518347421,2018-02-11T11:10:21Z,SOV703,"55.407829,37.893219",0,21,267
1518347414,2018-02-11T11:10:14Z,SOV703,"55.407829,37.893745",0,22,253
1518347408,2018-02-11T11:10:08Z,SOV703,"55.408001,37.894089",0,21,241
1518347402,2018-02-11T11:10:02Z,SOV703,"55.407997,37.894424",0,21,236
1518347396,2018-02-11T11:09:56Z,SOV703,"55.408173,37.89476",0,22,236
1518347388,2018-02-11T11:09:48Z,SOV703,"55.408516,37.895279",0,18,233
1518347375,2018-02-11T11:09:35Z,SOV703,"55.408684,37.895634",0,16,219
1518347366,2018-02-11T11:09:26Z,SOV703,"55.408684,37.895966",0,14,233
1518347354,2018-02-11T11:09:14Z,SOV703,"55.409031,37.896309",0,12,236
1518347339,2018-02-11T11:08:59Z,SOV703,"55.409203,37.896652",0,13,230
1518347327,2018-02-11T11:08:47Z,SOV703,"55.409374,37.896996",0,15,182
1518347297,2018-02-11T11:08:17Z,SOV703,"55.410057,37.89632",0,14,149
1518347279,2018-02-11T11:07:59Z,SOV703,"55.410576,37.895805",0,13,140
1518347273,2018-02-11T11:07:53Z,SOV703,"55.410583,37.895447",0,13,129
1518347258,2018-02-11T11:07:38Z,SOV703,"55.410583,37.895111",0,11,67
1518347041,2018-02-11T11:04:01Z,SOV703,"55.410408,37.89476",0,0,292
1518346834,2018-02-11T11:00:34Z,SOV703,"55.410408,37.89476",0,0,292
1518346653,2018-02-11T10:57:33Z,SOV703,"55.410404,37.894775",0,0,56
